Year,May_NAOI,Feb_NINO3.4,April_ONI,March_MEI,March_SOI,May_PDO,JJAS_Rainfall
1951,-0.59,25.71,0.18,-1.283,-0.2,-1.29,895.057
1952,-1.12,26.74,0.29,-1.178,0.9,-2.07,783.898
1953,-0.66,27,0.66,0.071,-0.3,-0.55,1072.05
1954,-0.09,27.03,-0.41,0.277,0.4,-0.76,1049.77
1955,-0.34,25.81,-0.8,0.154,1.1,-1.89,1173.57
1956,2.21,25.76,-0.54,-1.117,2.2,-1.62,1085.59
1957,-0.79,26.54,0.72,-1.371,0.3,-0.02,987.179
1958,-0.24,28.24,0.93,0.108,0.4,1.46,1062.06
1959,0.39,27.18,0.33,1.313,2.1,-0.13,1278.85
1960,0.45,26.29,0.03,0.502,1.7,0.35,858.5
1961,-0.36,26.56,0.09,-0.082,-3,-0.54,1108.15
1962,-0.1,26.19,-0.26,-0.073,0.2,-1.3,936.549
1963,2.16,26.22,0.27,-0.692,1.9,-1.26,993.23
1964,0.52,27.13,-0.33,-0.675,1.9,-2.39,962.775
1965,-0.62,26.19,0.18,-0.256,1.2,-0.66,757.102
1966,0.22,27.55,0.66,-0.259,-1.5,-0.76,866.542
1967,-0.99,26.11,-0.45,0.689,2,-1.54,952.41
1968,-1.76,25.68,-0.44,-1.05,0.2,-0.79,758.7
1969,0.55,27.86,0.77,-0.635,0.7,-1.06,972.019
1970,1.14,26.95,0.19,0.458,1,-0.89,1081.11
1971,0.5,25.18,-0.85,0.228,3.8,-1.75,690.357
1972,0.95,26.3,0.41,-1.79,1.1,-2.16,654.345
1973,-0.44,27.95,-0.1,-0.256,1.2,-1.59,936.813
1974,-0.24,25.1,-1.03,0.87,4,-0.72,657.53
1975,-0.52,26.07,-0.73,-1.743,2.6,-2.08,1106.5
1976,0.96,25.49,-0.47,-0.85,2.9,-1.23,989.405
1977,-0.86,27.13,0.23,-1.213,-0.9,-0.47,901.285
1978,1.08,27,-0.18,0.145,-0.3,0.77,1089.05
1979,-1.03,26.53,0.28,-0.05,0.2,0.57,828.418
1980,-1.5,26.97,0.38,0.39,-0.7,0.64,1004.49
1981,0.2,26.11,-0.37,0.33,-2.1,1.29,1015.24
1982,-0.53,26.59,0.47,-0.28,1,-1.21,801.13
1983,-0.07,28.69,1.29,2.6,-4,1.01,1212.4
1984,0.54,26.56,-0.43,-0.17,-0.4,0.87,739.42
1985,-0.49,26.03,-0.78,-0.6,1.3,-0.87,734.298
1986,0.85,26.05,-0.2,-0.39,0.8,0.85,935.514
1987,0.98,27.88,0.95,1.57,-2.1,0.82,708.219
1988,0.63,27.03,-0.31,0.17,1.1,0.37,1234.52
1989,1.38,25.28,-0.83,-1.24,1.8,-0.09,1096.52
1990,-1.53,26.96,0.29,0.61,-0.7,-0.32,1138.89
1991,0.08,27.07,0.26,0.21,-1.1,-1.65,833.125
1992,2.63,28.53,1.29,1.72,-3.3,1.26,980.659
1993,-0.78,27.16,0.67,0.77,-0.8,1.79,864.405
1994,-0.57,26.81,0.31,-0.22,-1.1,0.55,1127.43
1995,-1.49,27.49,0.3,0.18,1.2,0.89,876.852
1996,-1.06,25.89,-0.39,-0.66,1.9,2.13,871.854
1997,-0.28,26.38,0.28,-0.3,-0.7,1.59,780.902
1998,-1.32,28.78,0.99,2.28,-4,-0.83,959.836
1999,0.92,25.43,-0.98,-1.15,2.1,-2.32,952.79
2000,1.58,25.21,-0.81,-1.37,2.2,-0.81,948.228
2001,-0.02,26.12,-0.34,-0.78,1.5,-1.12,937.142
2002,-0.22,26.71,0.2,-0.2,-0.4,-1.3,788.515
2003,0.01,27.39,-0.04,0.53,-0.5,0.21,1017.15
2004,0.19,26.98,0.17,-0.43,0.7,0.61,758.019
2005,-1.25,27.11,0.43,0.83,0.5,1.36,1104.39
2006,-1.14,26.08,-0.37,-0.62,2.9,-0.37,1176.05
2007,0.66,26.88,-0.32,-0.19,0.3,-0.29,1009.55
2008,-1.73,25.08,-1.01,-1.52,2.4,-1.62,917.533
2009,1.68,25.96,-0.33,-0.95,0.7,-1.32,694.379
2010,-1.49,28.01,0.35,1.33,-1.1,-0.18,1167.8
2011,-0.06,25.64,-0.73,-1.75,4.2,-0.66,835.468
2012,-0.91,26.08,-0.47,-0.59,1.2,-2.12,966.857
2013,0.57,26.24,-0.3,-0.13,2.5,-0.4,1190.83
2014,-0.92,26.14,0.04,-0.05,-1.5,1.27,780.068
2015,0.15,27.17,0.7,0.15,-1.2,0.32,835.986
2016,-0.77,29.01,0.94,1.32,-0.1,1.6,1076.38
2017,-1.91,26.67,0.2,-0.58,1.5,0.45,837.287
2018,2.12,25.97,-0.5,-0.8,2.4,-0.45,930.997
2019,-2.62,27.46,0.66,0.76,-0.5,0.26,1067.92
2020,-0.41,27.12,0.19,0.13,-0.2,-0.53,1090.06
2021,-1.24,25.75,-0.66,-0.79,0.6,-2.04,1056.33
2022,0.71,25.86,-1.06,-1.31,2.9,-2.24,2509.57
2023,0.39,26.29,0.16,-0.76,0.3,-2.42,970.947
2024,-0.44,28.27,0.71,0.78,0.6,-2.98,964.606
