SL NO,year,kx,Temp
1,2017,31.1185,27.12
1,2017,30.8286,27.336
1,2017,30.3378,28.154
1,2017,29.4155,28.665
1,2017,29.1981,29.39
1,2017,31.2815,31.869
1,2017,31.3359,33.776
1,2017,34.1309,34.363
1,2017,35.8487,35.239
1,2017,31.8069,34.996
1,2017,35.2163,31.162
1,2017,34.7452,31.817
1,2017,35.8042,31.567
1,2017,36.0925,31.235
1,2017,36.435,29.813
1,2017,35.8125,28.345
1,2017,35.6412,28.196
1,2017,36.1633,27.557
1,2017,35.8998,27.701
1,2017,33.1624,27.771
1,2017,33.0356,27.115
1,2017,32.6288,27.062
1,2017,32.558,26.792
1,2017,32.3093,26.78
2,2017,31.7328,27.997
2,2017,30.794,27.981
2,2017,29.7235,29.085
2,2017,29.3941,29.412
2,2017,29.7614,29.847
2,2017,30.4333,31.778
2,2017,30.766,33.695
2,2017,33.6763,33.939
2,2017,31.0296,35.1
2,2017,34.8127,32.929
2,2017,34.2923,30.657
2,2017,35.8306,31.682
2,2017,37.0955,31.529
2,2017,38.0705,31.545
2,2017,38.3571,29.903
2,2017,38.4131,28.369
2,2017,37.751,28.292
2,2017,36.7315,27.796
2,2017,35.5407,27.778
2,2017,34.452,27.799
2,2017,34.1276,27.468
2,2017,33.8608,27.593
2,2017,33.5956,26.822
2,2017,33.1871,26.702
3,2017,32.413,27.191
3,2017,31.6702,27.27
3,2017,31.5467,28.492
3,2017,31.8695,29.069
3,2017,32.0573,29.692
3,2017,31.7509,32.427
3,2017,31.1827,34.193
3,2017,30.9357,34.842
3,2017,31.7575,35.356
3,2017,31.3326,33.829
3,2017,34.1753,31.695
3,2017,34.6777,31.805
3,2017,34.7353,31.698
3,2017,35.9212,31.517
3,2017,37.303,30.186
3,2017,38.4082,27.997
3,2017,38.4757,27.854
3,2017,36.6541,27.539
3,2017,35.2722,27.891
3,2017,32.1742,27.915
3,2017,30.9785,27.114
3,2017,30.2143,27.301
3,2017,29.0004,26.972
3,2017,28.2741,26.926
4,2017,28.3795,27.55
4,2017,29.2541,27.837
4,2017,28.1769,28.517
4,2017,25.9304,29.451
4,2017,26.4245,30.244
4,2017,25.9436,32.324
4,2017,26.3405,33.913
4,2017,29.2343,34.58
4,2017,30.2126,35.752
4,2017,30.4992,35.648
4,2017,30.2818,33.736
4,2017,30.4103,33.573
4,2017,31.1943,31.961
