DATE,Max T,Min T,RH%_830,RH%_1730,Sunshine_hours,WindSpeed,Evapration,Location
01-01-2008,30,18,81,44,6.9,5,4.2,Hyderabad
02-01-2008,29.6,18.7,84,36,7.7,6,4.4,Hyderabad
03-01-2008,29,17.2,75,33,9.1,7,4,Hyderabad
04-01-2008,,,,26,9.4,5,4,Hyderabad
05-01-2008,29.4,13.4,69,32,9.6,5,4,Hyderabad
06-01-2008,28.9,13.2,65,43,9.3,5,3.5,Hyderabad
07-01-2008,29,13.4,70,36,9.1,4,3.8,Hyderabad
08-01-2008,29.7,14.4,68,37,8.4,4,4.1,Hyderabad
09-01-2008,28.4,14,76,34,9.5,5,4,Hyderabad
10-01-2008,29.3,14.7,56,27,9.7,4,4,Hyderabad
11-01-2008,31,15.5,67,30,9.5,5,3.9,Hyderabad
12-01-2008,31,16.2,69,34,9,5,4,Hyderabad
13-01-2008,31.5,16,77,35,9.3,4,4,Hyderabad
14-01-2008,31.9,15.5,64,29,9.4,4,4.1,Hyderabad
15-01-2008,31.8,16.1,59,30,9.3,3,4,Hyderabad
16-01-2008,33,16,74,16,9.6,5,4,Hyderabad
17-01-2008,32.4,14.8,76,29,10,5,4,Hyderabad
18-01-2008,30.5,14.5,62,29,9.5,4,3.8,Hyderabad
19-01-2008,31.7,15.9,51,30,9.7,5,3.8,Hyderabad
20-01-2008,32.4,17,64,28,9.3,5,4,Hyderabad
21-01-2008,31.8,17,72,33,9.6,5,4,Hyderabad
22-01-2008,32.1,19.2,86,38,9.3,5,4,Vizag
23-01-2008,32.4,19,81,43,7.8,6,3.8,Vizag
24-01-2008,,,,,,,,Vizag
25-01-2008,30.2,19.2,82,31,8.1,6,3.7,Vizag
26-01-2008,31.6,17.7,68,26,8.1,8,3.6,Vizag
27-01-2008,29.5,12.7,38,26,8.8,8,3.4,Vizag
28-01-2008,28.3,13.2,48,25,9.6,5,3.4,Vizag
29-01-2008,29.4,15.8,79,31,8.9,5,3.9,Vizag
30-01-2008,32.1,16.4,63,28,9.3,4,4,Vizag
31-01-2008,32,17.9,46,31,9.7,6,3.9,Vizag
01-02-2008,30.5,16.5,40,22,9.3,7,3.9,Vizag
02-02-2008,29.6,14.8,56,31,8.5,5,4,Vizag
03-02-2008,31.3,20.4,73,36,8.1,7,4.2,Vizag
04-02-2008,31,20.2,81,72,0.1,6,3.9,Guntur
05-02-2008,25,19.9,88,51,4.4,4,3.2,Guntur
06-02-2008,29.4,20,80,52,4.2,7,3.6,Guntur
07-02-2008,29.4,19.3,76,41,8.4,6,3.6,Guntur
08-02-2008,31.3,20.7,81,56,0,6,3.9,Guntur
09-02-2008,27.5,20,51,42,5.1,5,3.3,Guntur
10-02-2008,29.8,18.4,71,59,7.9,6,3.8,Guntur
11-02-2008,29.9,22.4,95,68,6.7,8,3.1,Guntur
12-02-2008,28.9,21.8,90,67,4.1,9,1.7,Guntur
13-02-2008,,,96,77,3,8,2.8,Guntur
14-02-2008,25.8,20,90,49,7.9,6,3.9,Guntur
15-02-2008,29.4,18.5,84,41,8.5,6,3.5,Guntur
16-02-2008,30.4,18.7,75,37,9.7,6,3.6,Guntur
17-02-2008,30.7,18,58,25,9.5,4,3.8,Guntur
18-02-2008,32.8,20.6,75,44,9.1,5,4,Guntur
19-02-2008,33.6,21,78,36,8.9,6,4.1,Guntur
20-02-2008,33,20,77,50,8.3,6,4,Guntur
21-02-2008,33,20.5,73,39,8.6,4,4,Guntur
22-02-2008,33.1,20.2,82,55,9.2,6,4,Guntur
23-02-2008,31.9,20.2,81,54,9.7,5,2.9,Guntur
24-02-2008,32.4,20.2,83,47,9.3,7,4,Vijaywada
25-02-2008,34,20.5,64,28,9.3,5,4.1,Vijaywada
26-02-2008,34.7,19.6,58,21,9.6,4,4.3,Vijaywada
27-02-2008,34.9,18.8,37,24,9.6,5,4.2,Vijaywada
28-02-2008,34,17.5,60,30,10,5,4,Vijaywada
29-02-2008,32.2,17.6,52,15,9.9,5,3.9,Vijaywada
01-03-2008,33,18.2,59,24,10,6,4.3,Vijaywada
02-03-2008,34.3,18.2,45,43,9,4,4.4,Vijaywada
03-03-2008,34.9,17.8,40,19,9,5,4,Vijaywada
04-03-2008,35.1,19,48,24,8.9,5,4.2,Vijaywada
05-03-2008,35.5,18.6,60,21,8.8,5,4.2,Vijaywada
06-03-2008,35.9,20,50,14,9.1,5,4.3,Vijaywada
07-03-2008,35.5,19.2,44,20,9,5,4,Vijaywada
08-03-2008,35.3,21,36,20,9,5,4,Vijaywada
09-03-2008,36.1,22.2,30,21,8.9,6,4.3,Vijaywada
10-03-2008,35.4,19.5,52,25,5.9,5,4.2,Vijaywada
11-03-2008,35.1,20.8,61,33,6.7,4,4.1,Vijaywada
12-03-2008,34.6,21.5,34,24,7,5,4.2,Guntur
13-03-2008,33.8,22.8,49,26,7.3,7,4,Guntur
14-03-2008,34.2,24.4,68,30,4.7,9,4.1,Guntur
15-03-2008,33.4,24.2,71,39,8.5,5,4,Guntur
16-03-2008,35.2,24.8,69,26,8.8,6,4.4,Guntur
17-03-2008,35.1,24.3,57,26,8.9,7,4,Guntur
18-03-2008,36.3,24.9,60,27,7.3,6,4.4,Guntur
19-03-2008,36.6,24.8,64,37,8.7,6,4.5,Guntur
20-03-2008,35.9,23.6,68,35,8.8,7,4.2,Guntur
21-03-2008,36.3,23,75,85,5.2,9,4.1,Hyderabad
22-03-2008,34.1,22,85,95,0.7,7,2.7,Hyderabad
